Iteration,CurrentBestLength,AntId,AntType,AntPathLength,AntPath,PathType,Phers,PhersOptimal
0,1e+06,1,king,201,12-2-14-6-19-7-8-5-13-11-4-1-3-16-0-9-15-10-17-18-12,1,380,20
0,201,2,king,471,19-12-0-4-1-15-8-5-13-6-11-3-14-16-2-18-17-7-9-10-19,1,381.99,21.99
0,201,3,king,283,12-7-8-5-13-15-17-18-9-4-1-3-14-11-6-19-2-16-0-10-12,1,382.839,22.1174
0,201,4,king,269,3-14-12-2-1-15-8-5-13-18-17-6-11-4-19-7-10-9-16-0-3,1,384.253,22.6828
0,201,5,king,387,16-19-14-12-8-5-13-15-4-1-18-9-17-2-6-3-7-10-0-11-16,1,385.74,23.1289
0,201,6,king,322,2-1-15-16-19-11-4-12-13-6-8-5-14-3-17-10-7-0-9-18-2,1,386.773,23.2839
0,201,7,king,414,13-15-8-5-7-12-2-1-3-14-6-19-11-4-10-0-9-18-17-16-13,1,388.016,23.4703
0,201,8,king,303,16-19-14-12-2-1-15-8-5-13-18-9-4-6-11-3-0-10-7-17-16,1,388.982,23.8084
0,201,9,king,366,2-12-0-14-10-7-8-5-13-1-3-17-18-11-4-15-16-19-9-6-2,1,390.302,24.0065
0,201,10,king,229,19-7-10-14-12-2-1-4-15-8-5-13-11-3-16-0-9-17-18-6-19,1,391.395,24.3343
1,201,11,king,329,1-14-12-2-3-5-13-15-16-19-11-4-10-17-18-9-8-6-7-0-1,1,389.21,24.9556
1,201,12,king,213,11-4-12-2-1-3-14-6-19-7-8-5-13-15-16-0-9-10-17-18-11,1,390.426,25.2596
1,201,13,king,324,10-13-17-1-15-8-5-14-6-19-11-4-12-2-16-0-9-7-3-18-10,1,392.304,26.4802
1,201,14,king,183,12-0-14-16-19-11-4-1-3-2-6-8-5-13-15-17-18-9-7-10-12,1,393.538,24.7571
1,183,15,king,405,15-16-19-7-8-5-13-11-3-4-1-18-9-10-14-12-2-6-17-0-15,1,395.724,26.9429
1,183,16,king,201,19-11-4-1-3-14-12-2-8-5-13-6-18-9-15-16-0-17-10-7-19,1,396.712,27.2392
1,183,17,king,301,11-6-19-14-12-2-1-18-9-8-5-13-7-3-16-17-10-4-15-0-11,1,398.702,27.9357
1,183,18,king,177,2-1-3-14-6-19-11-4-12-0-9-15-8-5-13-7-10-17-18-16-2,1,400.031,28.1771
1,177,19,king,365,7-8-5-13-15-1-3-14-12-2-16-19-11-4-10-17-18-9-6-0-7,1,402.291,30.437
1,177,20,king,273,17-18-9-16-19-11-4-1-3-14-15-8-5-13-6-7-12-2-10-0-17,1,403.387,30.8753
2,177,21,king,285,2-12-13-1-3-14-6-19-8-5-4-15-16-0-9-17-10-7-11-18-2,1,400.803,31.1468
2,177,22,king,194,10-14-12-2-1-3-16-19-7-8-5-13-15-17-18-9-4-6-11-0-10,1,402.207,31.5678
2,177,23,king,227,11-4-12-2-16-19-7-10-14-6-17-18-9-8-5-13-15-1-3-0-11,1,404.269,32.0833
2,177,24,king,145,0-9-15-8-5-13-1-18-16-19-11-4-12-2-14-6-3-17-10-7-0,1,406.031,30.1995
2,145,25,king,191,15-8-5-13-11-4-12-2-1-3-14-6-19-7-10-9-16-0-17-18-15,1,408.789,32.9581
2,145,26,king,236,2-12-13-1-3-14-6-19-7-8-5-4-10-9-15-16-17-18-11-0-2,1,410.884,33.6911
2,145,27,king,269,8-5-13-1-3-19-11-4-12-2-14-6-7-10-9-15-16-0-17-18-8,1,412.578,34.0301
2,145,28,king,214,10-14-11-4-1-15-16-19-7-0-9-8-5-13-18-17-6-3-2-12-10,1,414.065,34.7736
2,145,29,king,363,6-11-4-12-2-14-16-19-7-10-3-5-13-15-17-18-9-8-0-1-6,1,415.935,35.4278
2,145,30,king,265,6-19-7-12-2-3-14-15-8-5-13-11-4-1-18-9-16-0-17-10-6,1,417.037,35.7583
3,145,31,king,451,17-18-9-4-1-14-12-2-16-19-7-8-5-13-15-0-3-11-6-10-17,1,414.361,35.9238
3,145,32,king,167,7-8-5-13-11-4-1-3-14-6-19-12-2-16-0-9-15-17-18-10-7,1,415.247,36.1012
3,145,33,king,169,18-11-4-1-3-14-6-19-7-8-5-13-15-16-0-9-17-10-2-12-18,1,417.643,37.0592
3,145,34,king,188,10-14-12-2-16-0-9-8-5-13-15-17-18-11-4-1-3-19-7-6-10,1,420.01,37.7693
3,145,35,king,208,11-4-1-3-14-6-19-13-12-2-16-0-9-15-8-5-7-10-17-18-11,1,422.137,38.3012
3,145,36,king,181,4-1-3-14-6-19-7-12-2-16-0-9-8-5-13-15-17-18-11-10-4,1,424.06,38.9743
3,145,37,king,276,0-9-15-16-19-7-12-2-14-6-3-5-13-11-4-1-18-17-10-8-0,1,426.27,39.5268
3,145,38,king,218,18-9-15-8-5-13-1-3-14-6-19-11-4-12-2-7-16-0-10-17-18,1,427.719,40.3239
3,145,39,king,288,8-5-13-15-17-18-9-4-1-3-14-12-2-6-19-7-10-16-0-11-8,1,429.554,41.2413
3,145,40,king,262,13-11-4-1-15-8-5-19-7-12-2-16-0-14-6-3-17-18-9-10-13,1,430.943,41.4496
4,145,41,king,278,7-12-2-6-19-11-4-1-3-14-15-8-5-13-18-9-17-10-16-0-7,1,428.145,41.5642
4,145,42,king,294,15-17-13-1-3-14-6-19-7-8-5-4-12-2-16-0-9-10-11-18-15,1,429.584,42.0678
4,145,43,king,316,1-15-8-5-13-11-4-12-2-14-6-19-7-10-17-18-9-16-0-3-1,1,430.945,42.4759
4,145,44,king,257,16-19-11-4-12-2-14-6-8-5-13-15-17-18-9-1-3-10-7-0-16,1,432.21,42.9822
4,145,45,king,163,4-12-2-1-3-14-6-19-7-8-5-13-15-16-0-9-11-18-17-10-4,1,433.767,43.8383
4,145,46,king,365,6-19-7-10-14-12-2-1-18-9-15-8-5-13-11-4-17-16-0-3-6,1,436.221,44.6972
4,145,47,king,257,16-19-7-12-2-1-18-9-15-8-5-13-11-4-6-3-14-17-10-0-16,1,437.317,45.0807
4,145,48,king,281,12-2-1-15-8-5-13-11-4-10-14-6-19-7-0-9-16-17-18-3-12,1,438.873,45.8589
4,145,49,king,272,4-12-2-16-19-7-8-5-13-15-1-3-14-6-11-9-17-18-10-0-4,1,440.297,46.4283
4,145,50,king,342,19-7-8-5-13-15-4-1-3-14-12-2-6-11-10-16-17-18-9-0-19,1,441.767,46.8695
